2013,5,1335,NP,Weprin,Mark,S,L,9,H,,,R0001854,,5/22/2013,Levin 2013,PCOMC,Y,,,,Brooklyn,NY,11222,,2750.00,,N,N
2013,5,1335,NP,Weprin,Mark,S,L,9,H,,,R0001856,,5/22/2013,Cabrera for City Council,PCOMC,Y,,,,Bronx,NY,10468,,1000.00,,N,N
2013,5,1335,NP,Weprin,Mark,S,L,9,H,,,R0001858,,5/22/2013,Re-elect Donovan Richards 2013,PCOMC,Y,,,,Far Rockaway,NY,11691,,2750.00,,N,N
2013,5,1335,NP,Weprin,Mark,S,L,9,H,,,R0001859,,5/22/2013,Gibson for City Council,PCOMC,Y,,,,White Plains,NY,10607,,1750.00,,N,N
2013,5,1335,NP,Weprin,Mark,S,L,9,H,,,R0001932,,7/6/2013,Bronx Democratic County Comm.,PCOMZ,Y,,,,Bronx,NY,10461,,10000.00,,N,N
2013,5,1335,NP,Weprin,Mark,S,L,9,H,,,R0001933,,9/9/2012,COMMITTEE TO ELECT ANDY KING,PCOMC,Y,,,,Bronx,NY,10469,,1000.00,,N,N
2013,5,1335,NP,Weprin,Mark,S,L,9,H,,,R0001934,,7/6/2013,Espinal for City Council,PCOMC,Y,,,,Brooklyn,NY,11208,,1750.00,,N,N
2013,5,1335,NP,Weprin,Mark,S,L,9,H,,,R0001936,,7/6/2013,Re-elect Mealy,PCOMC,Y,,,,Brooklyn,NY,11233,,2750.00,,N,N
2013,5,1335,NP,Weprin,Mark,S,L,9,H,,,R0001938,,7/6/2013,Andy King 2013,PCOMC,Y,,,,Bronx,NY,10469,,1750.00,,N,N
2013,5,227,P,Lancman,Rory,I,H,15,H,,,R0001613,,11/4/2013,Daniel P Moynihan Dem Club,PCOMZ,Y,,,,Fresh Meadows,NY,11366,,2000.00,,N,N
2013,5,227,P,Lancman,Rory,I,H,15,H,,,R0001668,,10/29/2013,Gibson for City Council,PCOMC,Y,,,,Bronx,NY,10453,,250.00,,N,N
2013,5,227,P,Lancman,Rory,I,H,15,H,,,R0001669,,10/29/2013,Friends of Torres,PCOMC,Y,,,,Bronx,NY,10467,,250.00,,N,N
2013,5,311,P,Levine,Mark,D,J,7,H,,,R0000857,,3/4/2013,Levine for New York,PCOMC,Y,,,,New York,NY,10040,,2500.00,,N,N
2013,5,530,P,Crowley,Elizabeth,S,N,14,H,,,R0001742,,10/1/2013,Elizabeth Crowley for Congress,PCOMC,Y,,,,Glendale,NY,11385,,11950.00,,N,N
2013,6,1194,UN,Taylor,Martha,,H,7,H,,,R0000870,,2/22/2013,Friends of Austin Shafran,PCOMC,Y,,,,Bayside,NY,11360,,2750.00,,N,N
2013,6,361,NP,Rivera,Joel,,L,2,H,,,R0001660,,11/22/2010,Rivera Council 2009,PCOMC,Y,,,,,,,,875.00,,N,N
ELECTION,OFFICECD,CANDID,CANCLASS,CANDLAST,CANDFIRST,CANDMI,COMMITTEE,FILING,SCHEDULE,PAGENO,SEQUENCENO,REFNO,INV_DATE,DATE,RECIPIENT,C_CODE,ORG_IND,STRNO,STRNAME,APARTMENT,CITY,STATE,ZIP,PAY_METHOD,AMNT,EXEMPTCD,RR_IND,SEG_IND
